timestamp,category,prompt_label,tokens,cycles,throughput_tok_sec,avg_power_watts,min_power_watts,max_power_watts,total_energy_joules,energy_source,energy_j_counter,energy_j_sampled,joules_per_token,accept_rate_pct,reject_rate_pct,temp_start_c,temp_end_c,temp_max_c,sm_clock_mean_mhz,mem_clock_mean_mhz,throttle_reasons,n_power_samples,effective_sample_hz,prompt_tokens,K,max_tokens_config
2026-09-04T11:39:48.158638,Speculative Scout (1B->8B),Poem,250,81,41.42,311.09,224.08,430.53,1942.79,nvml_counter,1942.79,1874.1624,7.77116,42.5,57.5,49,57,57,2847.9,13801.0,0,603,99.9,48,5,250
2026-09-04T11:39:53.264482,Speculative Scout (1B->8B),Physics,250,70,49.02,355.81,263.27,441.57,1754.575,nvml_counter,1754.575,1812.3957,7.0183,51.7,48.3,57,58,58,2843.5,13801.0,0,510,100.0,49,5,250
2026-09-04T11:39:56.848065,Speculative Scout (1B->8B),Code,250,48,69.88,345.39,276.76,441.57,1178.511,nvml_counter,1178.511,1232.3252,4.714044,85.4,14.6,58,56,58,2843.5,13801.0,0,358,100.1,49,5,250
2026-09-05T23:46:38.595652,Speculative Scout (1B->8B),Poem,250,81,43.48,344.04,250.98,440.9,1929.609,nvml_counter,1929.609,1973.7812,7.718436,42.5,57.5,61,61,61,2842.1,13801.0,0,575,100.0,48,5,250
2026-09-05T23:46:43.649909,Speculative Scout (1B->8B),Physics,250,70,49.54,356.47,264.15,441.85,1747.442,nvml_counter,1747.442,1796.8658,6.989768,51.7,48.3,61,60,61,2842.1,13801.0,0,505,100.1,49,5,250
2026-09-05T23:46:47.163984,Speculative Scout (1B->8B),Code,250,48,71.31,341.12,270.6,441.95,1142.167,nvml_counter,1142.167,1193.5151,4.568668,85.4,14.6,60,60,60,2843.7,13801.0,0,350,99.8,49,5,250
